dt_date,Parking
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,9
2022/7/1,50
2022/7/1,25
2022/7/1,18
2022/7/1,35
2022/7/1,9
2022/7/1,30
2022/7/1,20
2022/7/1,34
2022/7/1,9
2022/7/1,16
2022/7/1,31
2022/7/1,12
2022/7/1,5
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,25
2022/7/2,69
2022/7/2,30
2022/7/2,7
2022/7/2,22
2022/7/2,0
2022/7/2,63
2022/7/2,1
2022/7/2,38
2022/7/2,13
2022/7/2,5
2022/7/2,30
2022/7/2,0
2022/7/2,1
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,11
2022/7/3,71
2022/7/3,7
2022/7/3,30
2022/7/3,25
2022/7/3,10
2022/7/3,51
2022/7/3,12
2022/7/3,46
2022/7/3,23
2022/7/3,8
2022/7/3,38
2022/7/3,2
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,11
2022/7/4,53
2022/7/4,4
2022/7/4,34
2022/7/4,11
2022/7/4,13
2022/7/4,37
2022/7/4,13
2022/7/4,60
2022/7/4,5
2022/7/4,13
2022/7/4,30
2022/7/4,9
2022/7/4,2
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,8
2022/7/5,53
2022/7/5,6
2022/7/5,1
2022/7/5,37
2022/7/5,24
2022/7/5,8
2022/7/5,17
2022/7/5,36
2022/7/5,25
2022/7/5,25
2022/7/5,0
2022/7/5,27
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,28
2022/7/6,43
2022/7/6,27
2022/7/6,8
2022/7/6,34
2022/7/6,16
2022/7/6,27
2022/7/6,20
2022/7/6,31
2022/7/6,5
2022/7/6,38
2022/7/6,9
2022/7/6,30
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,4
2022/7/7,54
2022/7/7,27
2022/7/7,22
2022/7/7,29
2022/7/7,18
2022/7/7,23
2022/7/7,22
2022/7/7,25
2022/7/7,12
2022/7/7,30
2022/7/7,7
2022/7/7,8
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,12
2022/7/8,61
2022/7/8,22
2022/7/8,27
2022/7/8,19
2022/7/8,33
2022/7/8,15
2022/7/8,36
2022/7/8,36
2022/7/8,27
2022/7/8,32
2022/7/8,28
2022/7/8,8
2022/7/8,3
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,10
2022/7/9,56
2022/7/9,26
2022/7/9,46
2022/7/9,27
2022/7/9,22
2022/7/9,43
2022/7/9,11
2022/7/9,71
2022/7/9,0
2022/7/9,37
2022/7/9,20
2022/7/9,8
2022/7/9,1
2022/7/9,0
2022/7/9,0
