dt_date,Parking
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,9
2022/7/1,18
2022/7/1,17
2022/7/1,22
2022/7/1,37
2022/7/1,20
2022/7/1,31
2022/7/1,23
2022/7/1,23
2022/7/1,15
2022/7/1,8
2022/7/1,3
2022/7/1,4
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,13
2022/7/2,28
2022/7/2,39
2022/7/2,63
2022/7/2,64
2022/7/2,53
2022/7/2,81
2022/7/2,91
2022/7/2,68
2022/7/2,57
2022/7/2,49
2022/7/2,16
2022/7/2,0
2022/7/2,2
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,3
2022/7/3,18
2022/7/3,46
2022/7/3,56
2022/7/3,65
2022/7/3,56
2022/7/3,62
2022/7/3,62
2022/7/3,82
2022/7/3,70
2022/7/3,19
2022/7/3,6
2022/7/3,5
2022/7/3,2
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,10
2022/7/4,17
2022/7/4,41
2022/7/4,42
2022/7/4,40
2022/7/4,34
2022/7/4,45
2022/7/4,30
2022/7/4,35
2022/7/4,33
2022/7/4,41
2022/7/4,15
2022/7/4,2
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,6
2022/7/5,9
2022/7/5,13
2022/7/5,7
2022/7/5,14
2022/7/5,22
2022/7/5,12
2022/7/5,25
2022/7/5,24
2022/7/5,14
2022/7/5,17
2022/7/5,3
2022/7/5,8
2022/7/5,1
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,6
2022/7/6,11
2022/7/6,11
2022/7/6,25
2022/7/6,22
2022/7/6,12
2022/7/6,25
2022/7/6,28
2022/7/6,26
2022/7/6,26
2022/7/6,12
2022/7/6,16
2022/7/6,3
2022/7/6,4
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,10
2022/7/7,13
2022/7/7,23
2022/7/7,27
2022/7/7,33
2022/7/7,18
2022/7/7,24
2022/7/7,26
2022/7/7,23
2022/7/7,24
2022/7/7,11
2022/7/7,8
2022/7/7,3
2022/7/7,1
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,5
2022/7/8,14
2022/7/8,24
2022/7/8,33
2022/7/8,15
2022/7/8,5
2022/7/8,34
2022/7/8,37
2022/7/8,48
2022/7/8,22
2022/7/8,23
2022/7/8,12
2022/7/8,2
2022/7/8,10
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,41
2022/7/9,58
2022/7/9,131
2022/7/9,82
2022/7/9,95
2022/7/9,102
2022/7/9,129
2022/7/9,113
2022/7/9,116
2022/7/9,153
2022/7/9,88
2022/7/9,53
2022/7/9,23
2022/7/9,27
2022/7/9,0
2022/7/9,0
