,date,hr,tickets
0,2022-07-01,0,0
1,2022-07-01,1,0
2,2022-07-01,2,0
3,2022-07-01,3,0
4,2022-07-01,4,0
5,2022-07-01,5,0
6,2022-07-01,6,0
7,2022-07-01,7,0
8,2022-07-01,8,7.578947368
9,2022-07-01,9,22.73684211
10,2022-07-01,10,47.36842105
11,2022-07-01,11,66.31578947
12,2022-07-01,12,68.21052632
13,2022-07-01,13,70.10526316
14,2022-07-01,14,85.26315789
15,2022-07-01,15,92.84210526
16,2022-07-01,16,73.89473684
17,2022-07-01,17,41.68421053
18,2022-07-01,18,0
19,2022-07-01,19,0
20,2022-07-01,20,0
21,2022-07-01,21,0
22,2022-07-01,22,0
23,2022-07-01,23,0
24,2022-07-02,0,0
25,2022-07-02,1,0
26,2022-07-02,2,0
27,2022-07-02,3,0
28,2022-07-02,4,0
29,2022-07-02,5,0
30,2022-07-02,6,0
31,2022-07-02,7,0
32,2022-07-02,8,13.64473684
33,2022-07-02,9,40.93421053
34,2022-07-02,10,85.27960526
35,2022-07-02,11,119.3914474
36,2022-07-02,12,122.8026316
37,2022-07-02,13,126.2138158
38,2022-07-02,14,153.5032895
39,2022-07-02,15,167.1480263
40,2022-07-02,16,133.0361842
41,2022-07-02,17,75.04605263
42,2022-07-02,18,0
43,2022-07-02,19,0
44,2022-07-02,20,0
45,2022-07-02,21,0
46,2022-07-02,22,0
47,2022-07-02,23,0
48,2022-07-03,0,0
49,2022-07-03,1,0
50,2022-07-03,2,0
51,2022-07-03,3,0
52,2022-07-03,4,0
53,2022-07-03,5,0
54,2022-07-03,6,0
55,2022-07-03,7,0
56,2022-07-03,8,12.55263158
57,2022-07-03,9,37.65789474
58,2022-07-03,10,78.45394737
59,2022-07-03,11,109.8355263
60,2022-07-03,12,112.9736842
61,2022-07-03,13,116.1118421
62,2022-07-03,14,141.2171053
63,2022-07-03,15,153.7697368
64,2022-07-03,16,122.3881579
65,2022-07-03,17,69.03947368
66,2022-07-03,18,0
67,2022-07-03,19,0
68,2022-07-03,20,0
69,2022-07-03,21,0
70,2022-07-03,22,0
71,2022-07-03,23,0
72,2022-07-04,0,0
73,2022-07-04,1,0
74,2022-07-04,2,0
75,2022-07-04,3,0
76,2022-07-04,4,0
77,2022-07-04,5,0
78,2022-07-04,6,0
79,2022-07-04,7,0
80,2022-07-04,8,8.618421053
81,2022-07-04,9,25.85526316
82,2022-07-04,10,53.86513158
83,2022-07-04,11,75.41118421
84,2022-07-04,12,77.56578947
85,2022-07-04,13,79.72039474
86,2022-07-04,14,96.95723684
87,2022-07-04,15,105.5756579
